"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GFC_TREE_COVER","GFC_FOREST_GAIN","GFC_FOREST_LOSS","GFC_FOREST_LOSS_YEAR","GFC_DATA_MASK","class"
"569","7.08211193684002","-6.00828715183522","219","0.00326415972756594","1.27561596950921","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"300","7.13664297765932","-6.10269910309146","242","0.011366541004478","5.22367431662381","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"371","6.96735258228001","-5.61815960612698","391","0.0942949670996158","3.44176644171095","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"36","7.15319219900249","-5.9819711769161","225","0.0119615396117124","2.02893177935746","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"309","7.11412518468418","-6.06770156943613","251","0.00963103640777449","1.94572355684501","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"6","7.09486297623558","-6.05196624422676","239","0.00950482461427556","1.5707963267949","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"416","7.04901349415368","-6.08642118046107","280","0.00902576479385059","1.84473882340429","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"266","7.48797480781349","-6.32977612378534","276","0.0104835291755079","3.32409020394514","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"679","7.43561415667855","-5.70388999864701","218","0.0214754408504203","4.90945171970196","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,11
"158","7.01889933728332","-5.90899182378987","220","0.00859875765007584","3.25233876754525","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"563","7.06800440389174","-6.08533598561905","273","0.00695780353861565","1.47315846919456","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"880","7.02052712954658","-6.12738728574754","289","0.0169443737441129","2.18507790595126","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"715","7.13040310731681","-6.15668754648224","251","0.00959912403200881","5.47726810693964","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"594","6.97793323199121","-5.41685596293122","219","0.0155871559663491","0.95898253504791","Yamoussoukro","Côte d'Ivoire",0,0,0,0,0,11
"96","7.08129804070839","-5.88159065402872","205","0.00935404217598742","5.94279389140573","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"734","7.11927986018452","-6.13878183158881","258","0.0126234765329441","5.92030068950909","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"498","7.02242622052039","-5.50801232966138","322","0.0364611358846933","2.38209996305268","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"854","7.15454869255521","-6.09293234951323","244","0.0129054134664149","4.56469965012045","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"460","7.20582414884798","-5.54680804526379","218","0.0176104270454254","1.91654667152069","Lacs","Côte d'Ivoire",0,0,0,0,0,11
"148","7.16784232937185","-5.38484271509146","225","0.0134698315233797","3.30361075449809","Lacs","Côte d'Ivoire",0,0,0,0,0,11
"274","6.92068920406648","-6.12738728574754","281","0.00522115196240215","4.22573624172271","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"19","7.62335286437483","-6.02537897059713","234","0.010018119227289","2.7074169722285","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"825","7.46111623546966","-5.52618934326531","213","0.00595522757635601","0.754044026021277","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,11
"657","7.17706648553034","-5.58261947505064","198","0.00653398942049383","3.05835588072131","Lacs","Côte d'Ivoire",0,0,0,0,0,11
"745","7.03436336378432","-6.18978598916402","278","0.0105439499257977","4.9197148353604","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"635","7.09269258655123","-6.12440299993197","273","0.0105646577664603","1.11902421474868","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"260","7.04060323412682","-6.01778260670295","243","0.011729639870675","0.520945723480364","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"537","7.08997959944579","-6.08479338819803","278","0.0120911120883719","1.53713331068689","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,11
"173","7.56068286223922","-5.40030674159032","232","0.0048009562362497","3.9280004523446","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"183","7.53518078344811","-6.21338897697808","224","0.00300255267521447","1.66127953330151","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"298","7.57153481066097","-6.23997625060771","256","0.0109712879117526","0.716347029909813","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"304","7.63854559216528","-6.05603572488435","247","0.0152973054546436","2.70090422657344","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"531","7.63583260505985","-5.98929624209977","218","0.00319325535091546","2.92707609669841","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"894","7.69741741235328","-6.01317052862434","270","0.00362774294804562","1.79708498922599","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"486","7.48878870394513","-5.78012493629932","233","0.0147682871836873","1.3485327129185","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
